Fecha,Hora,Megabytes Normal,Megabytes Picos
2023-09-07,01:07:09,0.78,1.01
2023-09-07,01:07:32,0.78,1.01
2023-09-07,01:07:43,83.42,97.86
2023-09-07,01:08:20,89.93,98.29
2023-09-07,01:08:28,9.68,9.99
2023-09-07,01:08:49,9.68,9.99
2023-09-07,01:09:01,85.37,99.8
2023-09-07,01:09:15,89.93,98.29
2023-09-07,01:09:38,9.69,9.99
2023-09-07,01:09:52,85.37,99.81
2023-09-07,01:10:17,88.41,98.03
2023-09-07,01:10:46,89.93,98.29
2023-09-07,01:11:27,85.37,99.81
2023-09-07,01:11:43,100.05,100.5
2023-09-07,01:12:27,104.71,105.07
2023-09-07,01:13:00,90.36,104.8
2023-09-07,01:13:49,0.79,1.02
2023-09-07,01:22:35,1.4,1.49
2023-09-07,01:22:47,0.76,0.99
2023-09-07,01:22:55,83.41,97.84
2023-09-07,01:26:26,88.39,98.01
2023-09-07,01:26:56,89.92,98.27
2023-09-07,01:29:09,9.67,9.97
2023-09-07,01:33:17,1.4,1.49
2023-09-07,01:33:22,0.76,0.99
2023-09-07,01:42:03,1,7.16
2023-09-07,01:43:51,0.77,1
2023-09-07,01:44:12,1.41,7.48
2023-09-07,01:47:52,1.42,7.49
2023-09-07,01:48:44,300.32,2007.8
2023-09-07,01:49:10,1.42,7.49
2023-09-07,01:51:50,1.58,1.77
2023-09-07,01:52:18,1.7,1.89
2023-09-07,01:54:43,1.32,1.55
2023-09-07,02:52:08,1.4,1.49
2023-09-07,02:52:17,0.76,0.99
2023-09-07,02:52:28,1.41,7.48
2023-09-07,13:56:51,1.39,1.48
2023-09-07,14:03:24,2.08,2.18
2023-09-07,14:03:30,2.1,2.33
2023-09-07,14:56:47,2.08,2.23
2023-09-08,09:20:24,1.39,1.48
2023-09-08,10:14:07,1.39,1.48
2023-09-08,13:21:35,1.39,1.48
2023-09-10,02:11:49,1.39,1.48
2023-09-10,02:12:01,1.41,1.6
2023-09-10,02:12:06,0.75,0.99
2023-09-10,02:15:45,0.81,1.92
2023-09-10,02:16:56,0.81,1.92
2023-09-10,02:39:33,0.81,1.92
2023-09-10,02:46:28,0.81,1.93
2023-09-10,02:47:55,0.81,1.93
2023-09-10,02:50:20,0.81,1.93
2023-09-10,02:51:22,0.81,1.93
2023-09-10,02:51:55,0.81,1.92
2023-09-10,02:52:24,0.81,1.92
2023-09-10,03:01:04,0.81,1.92
2023-09-10,03:02:22,0.81,1.92
2023-09-10,03:02:53,0.81,1.92
2023-09-10,03:03:46,0.81,1.92
2023-09-10,03:07:16,0.81,1.92
2023-09-10,03:08:40,0.81,1.92
2023-09-10,03:23:04,0.81,1.93
2023-09-12,08:26:09,1.39,1.48
2023-09-12,08:26:22,1.41,1.6
2023-09-12,08:26:42,0.75,0.99
2023-09-12,08:27:02,71.47,87.26
2023-09-12,08:27:24,72.03,87.43
2023-09-12,08:27:31,0.76,0.99
2023-09-12,08:28:28,72.73,87.3
2023-09-12,08:30:44,74.49,87.46
2023-09-12,08:31:20,74.49,87.46
2023-09-12,10:20:14,10.9,13.24
2023-09-12,10:22:07,1.41,1.6
2023-09-12,10:41:25,1.39,1.48
2023-09-12,10:41:49,0.75,0.98
2023-09-12,10:42:06,1.21,2.23
2023-09-12,10:42:42,0.85,1.08
2023-09-12,10:42:53,1.24,2.27
2023-09-12,10:43:44,1.24,2.18
2023-09-12,10:44:17,1.41,1.61
2023-09-12,10:44:24,0.76,0.99
2023-09-12,10:44:37,1.22,2.16
2023-09-12,10:46:48,43.56,401.87
2023-09-12,10:51:51,1.23,2.17
2023-09-12,10:55:59,1.35,2.29
2023-09-12,10:57:00,1.35,2.29
2023-09-12,14:53:57,1.39,1.49
2023-09-12,14:54:16,0.76,0.99
2023-09-12,14:56:29,1.22,2.16
2023-09-12,15:03:06,1.23,2.17
2023-09-12,15:08:42,1.23,2.17
2023-09-12,15:10:38,0.81,0.99
2023-09-12,15:18:25,1.36,1.6
2023-09-12,15:19:24,1.36,1.6
2023-09-12,15:19:58,1.36,1.6
2023-09-12,15:20:18,1.36,1.6
2023-09-12,15:24:01,1.36,1.68
2023-09-12,15:24:11,1.36,1.71
2023-09-12,15:29:09,4.76,6.96
2023-09-12,15:31:24,4.57,6.96
2023-09-12,15:34:16,4.55,6.96
2023-09-12,15:34:34,1.46,1.88
2023-09-12,15:36:56,1.63,1.83
2023-09-12,15:37:07,1.63,1.83
2023-09-12,15:38:51,1.63,1.83
2023-09-12,15:39:46,1.63,1.83
2023-09-12,15:40:14,1.63,1.83
2023-09-12,15:42:38,1.63,1.83
2023-09-12,15:43:23,1.63,1.83
2023-09-12,15:43:29,1.23,2.17
2023-09-12,15:44:40,1.63,1.83
2023-09-12,15:44:46,1.23,2.17
2023-09-12,15:45:00,1.63,1.83
2023-09-12,15:45:35,1.63,1.83
2023-09-12,15:47:20,1.63,1.83
2023-09-12,15:47:28,1.63,1.83
2023-09-12,15:47:50,1.63,1.83
2023-09-12,15:56:12,1.64,1.84
2023-09-12,15:56:35,1.64,1.84
2023-09-12,15:57:03,1.64,1.84
2023-09-12,15:57:28,1.64,1.84
2023-09-12,15:58:07,1.64,1.84
2023-09-12,15:58:34,1.64,1.84
2023-09-12,15:59:28,1.64,1.84
2023-09-12,15:59:49,1.64,1.84
2023-09-12,16:00:55,1.64,1.84
2023-09-12,16:01:04,1.64,1.84
2023-09-12,16:01:21,1.64,1.84
2023-09-12,16:01:36,1.64,1.84
2023-09-12,16:02:21,1.64,1.84
2023-09-12,16:02:45,1.64,1.84
2023-09-12,16:05:04,1.64,1.85
2023-09-12,16:05:16,1.64,1.85
2023-09-12,16:05:44,1.64,1.85
2023-09-12,16:06:42,1.64,1.84
2023-09-12,16:06:55,1.64,1.84
2023-09-12,16:07:22,1.64,1.85
2023-09-12,16:08:21,1.64,1.85
2023-09-12,16:08:39,1.64,1.85
2023-09-12,16:09:26,1.64,1.85
2023-09-12,16:10:12,1.64,1.84
2023-09-12,16:10:50,1.64,1.84
2023-09-12,16:11:10,1.64,1.84
2023-09-12,16:11:26,1.64,1.84
2023-09-12,16:11:57,1.64,1.84
2023-09-12,16:12:14,1.64,1.85
2023-09-12,16:13:09,1.64,1.85
2023-09-12,16:13:46,1.64,1.85
2023-09-12,16:15:01,1.64,1.85
2023-09-12,16:15:43,1.64,1.85
2023-09-12,16:15:58,1.64,1.85
